"count","truePos","falseNeg","falsePos","F1val","Sens","Prec","Miss","FPper","F05v","beta","ModelName","SpeciesCode","Threshold","F075v","type","gvOpt"
91,18,24,0,0.6,0.428571428571429,1,0.571428571428571,0,0.789473684210526,0.5,"ResNet50v2","MODO",0.65,0.675675675675676,"ROI","F0.5 optimized"
101,5,46,0,0.178571428571429,0.0980392156862745,1,0.901960784313726,0,0.352112676056338,0.5,"ResNet50v2","MOUQ",0.97,0.231910946196661,"ROI","F0.5 optimized"
79,12,22,0,0.521739130434783,0.352941176470588,1,0.647058823529412,0,0.731707317073171,0.5,"MobileNetv2","NOFL",0.79,0.602409638554217,"ROI","Mean F0.5 from MobileNet"
102,4,48,0,0.142857142857143,0.0769230769230769,1,0.923076923076923,0,0.294117647058824,0.5,"MobileNetv2","NUWO",0.79,0.18796992481203,"ROI","Mean F0.5 from MobileNet"
99,7,42,0,0.25,0.142857142857143,1,0.857142857142857,0,0.454545454545455,0.5,"MobileNetv2","OATI",0.65,0.316455696202532,"ROI","F0.5 optimized"
102,11,41,0,0.349206349206349,0.211538461538462,1,0.788461538461538,0,0.572916666666667,0.5,"ResNet101v2","OCWA",0.73,0.427018633540373,"ROI","F0.5 optimized"
101,20,33,0,0.547945205479452,0.377358490566038,1,0.622641509433962,0,0.75187969924812,0.5,"MobileNetv2","OSFL",0.79,0.627352572145546,"ROI","Mean F0.5 from MobileNet"
77,17,13,0,0.723404255319149,0.566666666666667,1,0.433333333333333,0,0.86734693877551,0.5,"MobileNetv2","PAWR",0.99,0.784132841328413,"ROI","F0.5 optimized"
99,3,47,0,0.113207547169811,0.06,1,0.94,0,0.241935483870968,0.5,"MobileNetv2","PIWO",0.79,0.150602409638554,"ROI","Mean F0.5 from MobileNet"
100,2,48,0,0.0769230769230769,0.04,1,0.96,0,0.172413793103448,0.5,"MobileNetv2","PSFL",0.92,0.103734439834025,"ROI","F0.5 optimized"
100,11,39,0,0.360655737704918,0.22,1,0.78,0,0.585106382978723,0.5,"MobileNetv2","RSHA",0.79,0.439297124600639,"ROI","Mean F0.5 from MobileNet"
