"type","ModelName","Sens_Mean","Prec_Mean","F05v_Mean","Threshold_Mean","Sens_Sd","Prec_Sd","F05v_Sd","Threshold_Sd"
"ROI","MobileNetv2",0.384041034349313,0.989145658263305,0.693536497744094,0.786470588235294,0.215022271375418,0.0354800911509619,0.207539806624111,0.140887418550708
"ROI","ResNet101v2",0.407554987694549,0.983247105198325,0.71562347820315,0.735454545454545,0.185488419795625,0.0382261437557254,0.206441982061616,0.108477060834412
"ROI","ResNet50v2",0.350307504840501,0.996527777777778,0.688372421801717,0.756666666666667,0.159465734086111,0.0104166666666667,0.169139096556356,0.160078105935821
"Soundscape","MobileNetv2",0.65426982142299,0.863558526417416,0.799832266245254,0.786470588235294,0.138587332082653,0.131797169089261,0.100901897415423,0.140887418550708
"Soundscape","ResNet101v2",0.515993149101305,0.811680185818957,0.723154474219114,0.735454545454545,0.148783844910071,0.15631138362804,0.152891181207379,0.108477060834412
"Soundscape","ResNet50v2",0.569300494140945,0.874606204599829,0.779952005127275,0.756666666666667,0.13386072753716,0.101186485201969,0.0826780931083424,0.160078105935821
"ROI","All",0.382826216003861,0.989187685071831,0.698846770759451,0.764054054054054,0.19028606080411,0.0318394165938965,0.193561242152415,0.135225315255265
"Soundscape","All",0.592492325718208,0.850822509040623,0.772200426722299,0.764054054054054,0.149639657381246,0.132169067166323,0.116824026514851,0.135225315255265
