StartSecond,EndSecond,ScientificName,Species,Probability,File,birdcode
1,4,Vireo cassinii,Cassin's Vireo,0.1019,s2lam001_180526_2018-05-28_06-20.wav,CAVI
13,16,Fulmarus glacialis,Northern Fulmar,0.2079,s2lam001_180526_2018-05-28_06-20.wav,NA
21,24,Empidonax oberholseri,Dusky Flycatcher,0.1048,s2lam001_180526_2018-05-28_06-20.wav,NA
22,25,Melozone crissalis,California Towhee,0.1226,s2lam001_180526_2018-05-28_06-20.wav,CALT
23,26,Melozone crissalis,California Towhee,0.2954,s2lam001_180526_2018-05-28_06-20.wav,CALT
24,27,Melozone crissalis,California Towhee,0.1294,s2lam001_180526_2018-05-28_06-20.wav,CALT
32,35,Melozone crissalis,California Towhee,0.4359,s2lam001_180526_2018-05-28_06-20.wav,CALT
33,36,Melozone crissalis,California Towhee,0.4606,s2lam001_180526_2018-05-28_06-20.wav,CALT
34,37,Melozone crissalis,California Towhee,0.2698,s2lam001_180526_2018-05-28_06-20.wav,CALT
41,44,Melozone crissalis,California Towhee,0.1217,s2lam001_180526_2018-05-28_06-20.wav,CALT
42,45,Melozone crissalis,California Towhee,0.4689,s2lam001_180526_2018-05-28_06-20.wav,CALT
43,46,Melozone crissalis,California Towhee,0.4571,s2lam001_180526_2018-05-28_06-20.wav,CALT
44,47,Melozone crissalis,California Towhee,0.4143,s2lam001_180526_2018-05-28_06-20.wav,CALT
50,53,Melozone crissalis,California Towhee,0.3945,s2lam001_180526_2018-05-28_06-20.wav,CALT
51,54,Melozone crissalis,California Towhee,0.3694,s2lam001_180526_2018-05-28_06-20.wav,CALT
52,55,Melozone crissalis,California Towhee,0.5362,s2lam001_180526_2018-05-28_06-20.wav,CALT
53,56,Melozone crissalis,California Towhee,0.482,s2lam001_180526_2018-05-28_06-20.wav,CALT
55,58,Leiothlypis celata,Orange-crowned Warbler,0.1598,s2lam001_180526_2018-05-28_06-20.wav,OCWA
56,59,Leiothlypis celata,Orange-crowned Warbler,0.1577,s2lam001_180526_2018-05-28_06-20.wav,OCWA
57,60,Leiothlypis celata,Orange-crowned Warbler,0.1022,s2lam001_180526_2018-05-28_06-20.wav,OCWA
6,9,Melozone crissalis,California Towhee,0.2389,s2lam001_180526_2018-05-28_06-20.wav,CALT
7,10,Melozone crissalis,California Towhee,0.389,s2lam001_180526_2018-05-28_06-20.wav,CALT
8,11,Melozone crissalis,California Towhee,0.4948,s2lam001_180526_2018-05-28_06-20.wav,CALT
0,3,Leiothlypis celata,Orange-crowned Warbler,0.8978,s2lam001_180526_2018-05-28_06-40.wav,OCWA
1,4,Leiothlypis celata,Orange-crowned Warbler,0.9123,s2lam001_180526_2018-05-28_06-40.wav,OCWA
10,13,Leiothlypis celata,Orange-crowned Warbler,0.6024,s2lam001_180526_2018-05-28_06-40.wav,OCWA
11,14,Leiothlypis celata,Orange-crowned Warbler,0.6685,s2lam001_180526_2018-05-28_06-40.wav,OCWA
12,15,Leiothlypis celata,Orange-crowned Warbler,0.4059,s2lam001_180526_2018-05-28_06-40.wav,OCWA
13,16,Melozone crissalis,California Towhee,0.2607,s2lam001_180526_2018-05-28_06-40.wav,CALT
14,17,Melozone crissalis,California Towhee,0.2201,s2lam001_180526_2018-05-28_06-40.wav,CALT
2,5,Leiothlypis celata,Orange-crowned Warbler,0.7455,s2lam001_180526_2018-05-28_06-40.wav,OCWA
21,24,Melozone crissalis,California Towhee,0.1275,s2lam001_180526_2018-05-28_06-40.wav,CALT
22,25,Melozone crissalis,California Towhee,0.2052,s2lam001_180526_2018-05-28_06-40.wav,CALT
23,26,Melozone crissalis,California Towhee,0.2958,s2lam001_180526_2018-05-28_06-40.wav,CALT
24,27,Leiothlypis celata,Orange-crowned Warbler,0.2814,s2lam001_180526_2018-05-28_06-40.wav,OCWA
25,28,Leiothlypis celata,Orange-crowned Warbler,0.6142,s2lam001_180526_2018-05-28_06-40.wav,OCWA
26,29,Leiothlypis celata,Orange-crowned Warbler,0.6244,s2lam001_180526_2018-05-28_06-40.wav,OCWA
27,30,Leiothlypis celata,Orange-crowned Warbler,0.7381,s2lam001_180526_2018-05-28_06-40.wav,OCWA
3,6,Melozone crissalis,California Towhee,0.1094,s2lam001_180526_2018-05-28_06-40.wav,CALT
30,33,Melozone crissalis,California Towhee,0.1136,s2lam001_180526_2018-05-28_06-40.wav,CALT
31,34,Melozone crissalis,California Towhee,0.1326,s2lam001_180526_2018-05-28_06-40.wav,CALT
36,39,Leiothlypis celata,Orange-crowned Warbler,0.7337,s2lam001_180526_2018-05-28_06-40.wav,OCWA
37,40,Leiothlypis celata,Orange-crowned Warbler,0.9055,s2lam001_180526_2018-05-28_06-40.wav,OCWA
38,41,Leiothlypis celata,Orange-crowned Warbler,0.9021,s2lam001_180526_2018-05-28_06-40.wav,OCWA
39,42,Leiothlypis celata,Orange-crowned Warbler,0.8357,s2lam001_180526_2018-05-28_06-40.wav,OCWA
4,7,Melozone crissalis,California Towhee,0.2286,s2lam001_180526_2018-05-28_06-40.wav,CALT
41,44,Melozone crissalis,California Towhee,0.1263,s2lam001_180526_2018-05-28_06-40.wav,CALT
42,45,Melozone crissalis,California Towhee,0.4742,s2lam001_180526_2018-05-28_06-40.wav,CALT
43,46,Melozone crissalis,California Towhee,0.1727,s2lam001_180526_2018-05-28_06-40.wav,CALT
45,48,Leiothlypis celata,Orange-crowned Warbler,0.8288,s2lam001_180526_2018-05-28_06-40.wav,OCWA
46,49,Leiothlypis celata,Orange-crowned Warbler,0.8281,s2lam001_180526_2018-05-28_06-40.wav,OCWA
47,50,Leiothlypis celata,Orange-crowned Warbler,0.9429,s2lam001_180526_2018-05-28_06-40.wav,OCWA
48,51,Leiothlypis celata,Orange-crowned Warbler,0.8981,s2lam001_180526_2018-05-28_06-40.wav,OCWA
5,8,Melozone crissalis,California Towhee,0.1209,s2lam001_180526_2018-05-28_06-40.wav,CALT
51,54,Melozone crissalis,California Towhee,0.5034,s2lam001_180526_2018-05-28_06-40.wav,CALT
52,55,Melozone crissalis,California Towhee,0.3271,s2lam001_180526_2018-05-28_06-40.wav,CALT
56,59,Leiothlypis celata,Orange-crowned Warbler,0.4697,s2lam001_180526_2018-05-28_06-40.wav,OCWA
57,60,Leiothlypis celata,Orange-crowned Warbler,0.9133,s2lam001_180526_2018-05-28_06-40.wav,OCWA
9,12,Leiothlypis celata,Orange-crowned Warbler,0.5288,s2lam001_180526_2018-05-28_06-40.wav,OCWA
13,16,Melozone crissalis,California Towhee,0.1528,s2lam001_180526_2018-05-28_09-00.wav,CALT
32,35,Melozone crissalis,California Towhee,0.1073,s2lam001_180526_2018-05-28_09-00.wav,CALT
4,7,Calypte anna,Anna's Hummingbird,0.1064,s2lam001_180526_2018-05-28_09-00.wav,ANHU
44,47,Pheucticus melanocephalus,Black-headed Grosbeak,0.7266,s2lam001_180526_2018-05-28_09-00.wav,BHGR
45,48,Pheucticus melanocephalus,Black-headed Grosbeak,0.6325,s2lam001_180526_2018-05-28_09-00.wav,BHGR
46,49,Pheucticus melanocephalus,Black-headed Grosbeak,0.3888,s2lam001_180526_2018-05-28_09-00.wav,BHGR
54,57,Catharus ustulatus,Swainson's Thrush,0.2454,s2lam001_180526_2018-05-28_09-00.wav,SWTH
57,60,Chamaea fasciata,Wrentit,0.3713,s2lam001_180526_2018-05-28_09-00.wav,WREN
0,3,Chamaea fasciata,Wrentit,0.1655,s2lam001_180526_2018-05-28_09-30.wav,WREN
1,4,Chamaea fasciata,Wrentit,0.2955,s2lam001_180526_2018-05-28_09-30.wav,WREN
10,13,Melozone crissalis,California Towhee,0.2243,s2lam001_180526_2018-05-28_09-30.wav,CALT
2,5,Chamaea fasciata,Wrentit,0.4691,s2lam001_180526_2018-05-28_09-30.wav,WREN
20,23,Leiothlypis celata,Orange-crowned Warbler,0.5053,s2lam001_180526_2018-05-28_09-30.wav,OCWA
21,24,Leiothlypis celata,Orange-crowned Warbler,0.7751,s2lam001_180526_2018-05-28_09-30.wav,OCWA
22,25,Leiothlypis celata,Orange-crowned Warbler,0.8693,s2lam001_180526_2018-05-28_09-30.wav,OCWA
23,26,Leiothlypis celata,Orange-crowned Warbler,0.5528,s2lam001_180526_2018-05-28_09-30.wav,OCWA
29,32,Chamaea fasciata,Wrentit,0.1724,s2lam001_180526_2018-05-28_09-30.wav,WREN
3,6,Chamaea fasciata,Wrentit,0.1558,s2lam001_180526_2018-05-28_09-30.wav,WREN
30,33,Chamaea fasciata,Wrentit,0.1841,s2lam001_180526_2018-05-28_09-30.wav,WREN
34,37,Leiothlypis celata,Orange-crowned Warbler,0.3249,s2lam001_180526_2018-05-28_09-30.wav,OCWA
35,38,Leiothlypis celata,Orange-crowned Warbler,0.7117,s2lam001_180526_2018-05-28_09-30.wav,OCWA
39,42,Chamaea fasciata,Wrentit,0.2955,s2lam001_180526_2018-05-28_09-30.wav,WREN
41,44,Chamaea fasciata,Wrentit,0.2058,s2lam001_180526_2018-05-28_09-30.wav,WREN
44,47,Leiothlypis celata,Orange-crowned Warbler,0.3673,s2lam001_180526_2018-05-28_09-30.wav,OCWA
45,48,Leiothlypis celata,Orange-crowned Warbler,0.7027,s2lam001_180526_2018-05-28_09-30.wav,OCWA
46,49,Leiothlypis celata,Orange-crowned Warbler,0.7443,s2lam001_180526_2018-05-28_09-30.wav,OCWA
47,50,Leiothlypis celata,Orange-crowned Warbler,0.7954,s2lam001_180526_2018-05-28_09-30.wav,OCWA
5,8,Leiothlypis celata,Orange-crowned Warbler,0.1668,s2lam001_180526_2018-05-28_09-30.wav,OCWA
54,57,Melozone crissalis,California Towhee,0.3744,s2lam001_180526_2018-05-28_09-30.wav,CALT
55,58,Melozone crissalis,California Towhee,0.6566,s2lam001_180526_2018-05-28_09-30.wav,CALT
56,59,Melozone crissalis,California Towhee,0.4925,s2lam001_180526_2018-05-28_09-30.wav,CALT
7,10,Leiothlypis celata,Orange-crowned Warbler,0.1304,s2lam001_180526_2018-05-28_09-30.wav,OCWA
8,11,Chamaea fasciata,Wrentit,0.2297,s2lam001_180526_2018-05-28_09-30.wav,WREN
9,12,Chamaea fasciata,Wrentit,0.1464,s2lam001_180526_2018-05-28_09-30.wav,WREN
15,18,Regulus satrapa,Golden-crowned Kinglet,0.1603,s2lam001_180604_2018-06-09_07-30.wav,NA
10,13,Junco hyemalis,Dark-eyed Junco,0.4525,s2lam001_180707_2018-07-09_06-20.wav,DEJU
11,14,Junco hyemalis,Dark-eyed Junco,0.5142,s2lam001_180707_2018-07-09_06-20.wav,DEJU
12,15,Colaptes auratus,Northern Flicker,0.4789,s2lam001_180707_2018-07-09_06-20.wav,NOFL
13,16,Colaptes auratus,Northern Flicker,0.715,s2lam001_180707_2018-07-09_06-20.wav,NOFL
14,17,Colaptes auratus,Northern Flicker,0.7528,s2lam001_180707_2018-07-09_06-20.wav,NOFL
15,18,Colaptes auratus,Northern Flicker,0.8116,s2lam001_180707_2018-07-09_06-20.wav,NOFL
16,19,Junco hyemalis,Dark-eyed Junco,0.2692,s2lam001_180707_2018-07-09_06-20.wav,DEJU
17,20,Colaptes auratus,Northern Flicker,0.9087,s2lam001_180707_2018-07-09_06-20.wav,NOFL
18,21,Colaptes auratus,Northern Flicker,0.8064,s2lam001_180707_2018-07-09_06-20.wav,NOFL
19,22,Colaptes auratus,Northern Flicker,0.5273,s2lam001_180707_2018-07-09_06-20.wav,NOFL
20,23,Junco hyemalis,Dark-eyed Junco,0.143,s2lam001_180707_2018-07-09_06-20.wav,DEJU
21,24,Junco hyemalis,Dark-eyed Junco,0.2681,s2lam001_180707_2018-07-09_06-20.wav,DEJU
23,26,Junco hyemalis,Dark-eyed Junco,0.2452,s2lam001_180707_2018-07-09_06-20.wav,DEJU
24,27,Junco hyemalis,Dark-eyed Junco,0.5038,s2lam001_180707_2018-07-09_06-20.wav,DEJU
25,28,Junco hyemalis,Dark-eyed Junco,0.3841,s2lam001_180707_2018-07-09_06-20.wav,DEJU
26,29,Junco hyemalis,Dark-eyed Junco,0.2047,s2lam001_180707_2018-07-09_06-20.wav,DEJU
28,31,Dryobates villosus,Hairy Woodpecker,0.3905,s2lam001_180707_2018-07-09_06-20.wav,NA
29,32,Dryobates villosus,Hairy Woodpecker,0.3262,s2lam001_180707_2018-07-09_06-20.wav,NA
3,6,Junco hyemalis,Dark-eyed Junco,0.2917,s2lam001_180707_2018-07-09_06-20.wav,DEJU
30,33,Dryobates villosus,Hairy Woodpecker,0.2778,s2lam001_180707_2018-07-09_06-20.wav,NA
31,34,Junco hyemalis,Dark-eyed Junco,0.2557,s2lam001_180707_2018-07-09_06-20.wav,DEJU
32,35,Colaptes auratus,Northern Flicker,0.1535,s2lam001_180707_2018-07-09_06-20.wav,NOFL
34,37,Dryobates villosus,Hairy Woodpecker,0.276,s2lam001_180707_2018-07-09_06-20.wav,NA
35,38,Dryobates villosus,Hairy Woodpecker,0.5444,s2lam001_180707_2018-07-09_06-20.wav,NA
36,39,Dryobates villosus,Hairy Woodpecker,0.2063,s2lam001_180707_2018-07-09_06-20.wav,NA
37,40,Junco hyemalis,Dark-eyed Junco,0.227,s2lam001_180707_2018-07-09_06-20.wav,DEJU
38,41,Junco hyemalis,Dark-eyed Junco,0.5128,s2lam001_180707_2018-07-09_06-20.wav,DEJU
39,42,Junco hyemalis,Dark-eyed Junco,0.2294,s2lam001_180707_2018-07-09_06-20.wav,DEJU
4,7,Junco hyemalis,Dark-eyed Junco,0.4536,s2lam001_180707_2018-07-09_06-20.wav,DEJU
40,43,Colaptes auratus,Northern Flicker,0.9413,s2lam001_180707_2018-07-09_06-20.wav,NOFL
41,44,Colaptes auratus,Northern Flicker,0.9494,s2lam001_180707_2018-07-09_06-20.wav,NOFL
42,45,Colaptes auratus,Northern Flicker,0.8828,s2lam001_180707_2018-07-09_06-20.wav,NOFL
43,46,Junco hyemalis,Dark-eyed Junco,0.1033,s2lam001_180707_2018-07-09_06-20.wav,DEJU
44,47,Dryobates villosus,Hairy Woodpecker,0.5167,s2lam001_180707_2018-07-09_06-20.wav,NA
45,48,Dryobates villosus,Hairy Woodpecker,0.6276,s2lam001_180707_2018-07-09_06-20.wav,NA
46,49,Dryobates villosus,Hairy Woodpecker,0.625,s2lam001_180707_2018-07-09_06-20.wav,NA
47,50,Dryobates villosus,Hairy Woodpecker,0.4453,s2lam001_180707_2018-07-09_06-20.wav,NA
48,51,Dryobates villosus,Hairy Woodpecker,0.6748,s2lam001_180707_2018-07-09_06-20.wav,NA
49,52,Dryobates villosus,Hairy Woodpecker,0.3632,s2lam001_180707_2018-07-09_06-20.wav,NA
5,8,Junco hyemalis,Dark-eyed Junco,0.143,s2lam001_180707_2018-07-09_06-20.wav,DEJU
50,53,Dryobates villosus,Hairy Woodpecker,0.1407,s2lam001_180707_2018-07-09_06-20.wav,NA
51,54,Junco hyemalis,Dark-eyed Junco,0.1286,s2lam001_180707_2018-07-09_06-20.wav,DEJU
52,55,Junco hyemalis,Dark-eyed Junco,0.1555,s2lam001_180707_2018-07-09_06-20.wav,DEJU
53,56,Junco hyemalis,Dark-eyed Junco,0.2224,s2lam001_180707_2018-07-09_06-20.wav,DEJU
54,57,Colaptes auratus,Northern Flicker,0.3902,s2lam001_180707_2018-07-09_06-20.wav,NOFL
55,58,Colaptes auratus,Northern Flicker,0.1848,s2lam001_180707_2018-07-09_06-20.wav,NOFL
56,59,Dryobates villosus,Hairy Woodpecker,0.1971,s2lam001_180707_2018-07-09_06-20.wav,NA
57,60,Coccothraustes vespertinus,Evening Grosbeak,0.2293,s2lam001_180707_2018-07-09_06-20.wav,NA
9,12,Leiothlypis celata,Orange-crowned Warbler,0.2869,s2lam001_180707_2018-07-09_06-20.wav,OCWA
0,3,Colaptes auratus,Northern Flicker,0.6699,s2lam001_180707_2018-07-09_07-40.wav,NOFL
1,4,Colaptes auratus,Northern Flicker,0.7273,s2lam001_180707_2018-07-09_07-40.wav,NOFL
10,13,Colaptes auratus,Northern Flicker,0.708,s2lam001_180707_2018-07-09_07-40.wav,NOFL
11,14,Colaptes auratus,Northern Flicker,0.8037,s2lam001_180707_2018-07-09_07-40.wav,NOFL
12,15,Colaptes auratus,Northern Flicker,0.8049,s2lam001_180707_2018-07-09_07-40.wav,NOFL
13,16,Colaptes auratus,Northern Flicker,0.5652,s2lam001_180707_2018-07-09_07-40.wav,NOFL
14,17,Colaptes auratus,Northern Flicker,0.5527,s2lam001_180707_2018-07-09_07-40.wav,NOFL
16,19,Colaptes auratus,Northern Flicker,0.7602,s2lam001_180707_2018-07-09_07-40.wav,NOFL
17,20,Colaptes auratus,Northern Flicker,0.6676,s2lam001_180707_2018-07-09_07-40.wav,NOFL
18,21,Colaptes auratus,Northern Flicker,0.6671,s2lam001_180707_2018-07-09_07-40.wav,NOFL
19,22,Junco hyemalis,Dark-eyed Junco,0.3096,s2lam001_180707_2018-07-09_07-40.wav,DEJU
2,5,Colaptes auratus,Northern Flicker,0.8196,s2lam001_180707_2018-07-09_07-40.wav,NOFL
20,23,Junco hyemalis,Dark-eyed Junco,0.1447,s2lam001_180707_2018-07-09_07-40.wav,DEJU
24,27,Junco hyemalis,Dark-eyed Junco,0.5074,s2lam001_180707_2018-07-09_07-40.wav,DEJU
25,28,Junco hyemalis,Dark-eyed Junco,0.5417,s2lam001_180707_2018-07-09_07-40.wav,DEJU
26,29,Colaptes auratus,Northern Flicker,0.8533,s2lam001_180707_2018-07-09_07-40.wav,NOFL
27,30,Colaptes auratus,Northern Flicker,0.6467,s2lam001_180707_2018-07-09_07-40.wav,NOFL
28,31,Colaptes auratus,Northern Flicker,0.7219,s2lam001_180707_2018-07-09_07-40.wav,NOFL
29,32,Junco hyemalis,Dark-eyed Junco,0.1631,s2lam001_180707_2018-07-09_07-40.wav,DEJU
3,6,Junco hyemalis,Dark-eyed Junco,0.6377,s2lam001_180707_2018-07-09_07-40.wav,DEJU
30,33,Colaptes auratus,Northern Flicker,0.7932,s2lam001_180707_2018-07-09_07-40.wav,NOFL
31,34,Colaptes auratus,Northern Flicker,0.8059,s2lam001_180707_2018-07-09_07-40.wav,NOFL
32,35,Colaptes auratus,Northern Flicker,0.6752,s2lam001_180707_2018-07-09_07-40.wav,NOFL
34,37,Colaptes auratus,Northern Flicker,0.6902,s2lam001_180707_2018-07-09_07-40.wav,NOFL
35,38,Colaptes auratus,Northern Flicker,0.6553,s2lam001_180707_2018-07-09_07-40.wav,NOFL
36,39,Colaptes auratus,Northern Flicker,0.8125,s2lam001_180707_2018-07-09_07-40.wav,NOFL
37,40,Junco hyemalis,Dark-eyed Junco,0.4245,s2lam001_180707_2018-07-09_07-40.wav,DEJU
38,41,Junco hyemalis,Dark-eyed Junco,0.3628,s2lam001_180707_2018-07-09_07-40.wav,DEJU
39,42,Colaptes auratus,Northern Flicker,0.845,s2lam001_180707_2018-07-09_07-40.wav,NOFL
4,7,Junco hyemalis,Dark-eyed Junco,0.5602,s2lam001_180707_2018-07-09_07-40.wav,DEJU
40,43,Colaptes auratus,Northern Flicker,0.6245,s2lam001_180707_2018-07-09_07-40.wav,NOFL
41,44,Colaptes auratus,Northern Flicker,0.7384,s2lam001_180707_2018-07-09_07-40.wav,NOFL
42,45,Colaptes auratus,Northern Flicker,0.8465,s2lam001_180707_2018-07-09_07-40.wav,NOFL
43,46,Colaptes auratus,Northern Flicker,0.8594,s2lam001_180707_2018-07-09_07-40.wav,NOFL
44,47,Colaptes auratus,Northern Flicker,0.7077,s2lam001_180707_2018-07-09_07-40.wav,NOFL
47,50,Junco hyemalis,Dark-eyed Junco,0.1799,s2lam001_180707_2018-07-09_07-40.wav,DEJU
48,51,Colaptes auratus,Northern Flicker,0.5072,s2lam001_180707_2018-07-09_07-40.wav,NOFL
49,52,Colaptes auratus,Northern Flicker,0.5698,s2lam001_180707_2018-07-09_07-40.wav,NOFL
5,8,Junco hyemalis,Dark-eyed Junco,0.2941,s2lam001_180707_2018-07-09_07-40.wav,DEJU
50,53,Colaptes auratus,Northern Flicker,0.3362,s2lam001_180707_2018-07-09_07-40.wav,NOFL
55,58,Junco hyemalis,Dark-eyed Junco,0.3794,s2lam001_180707_2018-07-09_07-40.wav,DEJU
56,59,Junco hyemalis,Dark-eyed Junco,0.2733,s2lam001_180707_2018-07-09_07-40.wav,DEJU
57,60,Colaptes auratus,Northern Flicker,0.7726,s2lam001_180707_2018-07-09_07-40.wav,NOFL
6,9,Cyanocitta stelleri,Steller's Jay,0.2654,s2lam001_180707_2018-07-09_07-40.wav,STJA
7,10,Cyanocitta stelleri,Steller's Jay,0.4042,s2lam001_180707_2018-07-09_07-40.wav,STJA
8,11,Cyanocitta stelleri,Steller's Jay,0.3473,s2lam001_180707_2018-07-09_07-40.wav,STJA
9,12,Cyanocitta stelleri,Steller's Jay,0.2618,s2lam001_180707_2018-07-09_07-40.wav,STJA
10,13,Falco columbarius,Merlin,0.1049,s2lam001_190520_2019-05-21_06-50.wav,NA
11,14,Junco hyemalis,Dark-eyed Junco,0.4294,s2lam001_190520_2019-05-21_06-50.wav,DEJU
12,15,Junco hyemalis,Dark-eyed Junco,0.1066,s2lam001_190520_2019-05-21_06-50.wav,DEJU
17,20,Junco hyemalis,Dark-eyed Junco,0.1705,s2lam001_190520_2019-05-21_06-50.wav,DEJU
18,21,Junco hyemalis,Dark-eyed Junco,0.3174,s2lam001_190520_2019-05-21_06-50.wav,DEJU
28,31,Junco hyemalis,Dark-eyed Junco,0.1245,s2lam001_190520_2019-05-21_06-50.wav,DEJU
29,32,Junco hyemalis,Dark-eyed Junco,0.4064,s2lam001_190520_2019-05-21_06-50.wav,DEJU
3,6,Junco hyemalis,Dark-eyed Junco,0.2035,s2lam001_190520_2019-05-21_06-50.wav,DEJU
30,33,Junco hyemalis,Dark-eyed Junco,0.3881,s2lam001_190520_2019-05-21_06-50.wav,DEJU
4,7,Junco hyemalis,Dark-eyed Junco,0.3982,s2lam001_190520_2019-05-21_06-50.wav,DEJU
45,48,Junco hyemalis,Dark-eyed Junco,0.2195,s2lam001_190520_2019-05-21_06-50.wav,DEJU
46,49,Junco hyemalis,Dark-eyed Junco,0.1011,s2lam001_190520_2019-05-21_06-50.wav,DEJU
5,8,Junco hyemalis,Dark-eyed Junco,0.3124,s2lam001_190520_2019-05-21_06-50.wav,DEJU
55,58,Junco hyemalis,Dark-eyed Junco,0.1497,s2lam001_190520_2019-05-21_06-50.wav,DEJU
56,59,Junco hyemalis,Dark-eyed Junco,0.378,s2lam001_190520_2019-05-21_06-50.wav,DEJU
8,11,Cardellina pusilla,Wilson's Warbler,0.103,s2lam001_190520_2019-05-21_06-50.wav,WIWA
9,12,Cardellina pusilla,Wilson's Warbler,0.1068,s2lam001_190520_2019-05-21_06-50.wav,WIWA
0,3,Haemorhous mexicanus,House Finch,0.1321,s2lam002_190406_2019-04-09_08-50.wav,HOFI
1,4,Tachycineta thalassina,Violet-green Swallow,0.128,s2lam002_190406_2019-04-09_08-50.wav,NA
10,13,Tachycineta bicolor,Tree Swallow,0.3754,s2lam002_190406_2019-04-09_08-50.wav,NA
12,15,Tachycineta bicolor,Tree Swallow,0.4889,s2lam002_190406_2019-04-09_08-50.wav,NA
2,5,Tachycineta thalassina,Violet-green Swallow,0.7741,s2lam002_190406_2019-04-09_08-50.wav,NA
20,23,Tachycineta thalassina,Violet-green Swallow,0.1718,s2lam002_190406_2019-04-09_08-50.wav,NA
28,31,Tachycineta thalassina,Violet-green Swallow,0.3465,s2lam002_190406_2019-04-09_08-50.wav,NA
29,32,Tachycineta thalassina,Violet-green Swallow,0.4722,s2lam002_190406_2019-04-09_08-50.wav,NA
3,6,Tachycineta thalassina,Violet-green Swallow,0.9324,s2lam002_190406_2019-04-09_08-50.wav,NA
32,35,Tachycineta thalassina,Violet-green Swallow,0.1177,s2lam002_190406_2019-04-09_08-50.wav,NA
33,36,Tachycineta thalassina,Violet-green Swallow,0.3334,s2lam002_190406_2019-04-09_08-50.wav,NA
37,40,Spinus tristis,American Goldfinch,0.1027,s2lam002_190406_2019-04-09_08-50.wav,NA
4,7,Tachycineta thalassina,Violet-green Swallow,0.7549,s2lam002_190406_2019-04-09_08-50.wav,NA
47,50,Poecile atricapillus,Black-capped Chickadee,0.1427,s2lam002_190406_2019-04-09_08-50.wav,NA
5,8,Tachycineta thalassina,Violet-green Swallow,0.2216,s2lam002_190406_2019-04-09_08-50.wav,NA
57,60,Buteo lineatus,Red-shouldered Hawk,0.1492,s2lam002_190406_2019-04-09_08-50.wav,RSHA
6,9,Tachycineta bicolor,Tree Swallow,0.2505,s2lam002_190406_2019-04-09_08-50.wav,NA
7,10,Tachycineta bicolor,Tree Swallow,0.2967,s2lam002_190406_2019-04-09_08-50.wav,NA
8,11,Tachycineta bicolor,Tree Swallow,0.4131,s2lam002_190406_2019-04-09_08-50.wav,NA
9,12,Tachycineta bicolor,Tree Swallow,0.4424,s2lam002_190406_2019-04-09_08-50.wav,NA
0,3,Tachycineta bicolor,Tree Swallow,0.105,s2lam002_190406_2019-04-09_09-50.wav,NA
1,4,Tachycineta bicolor,Tree Swallow,0.3076,s2lam002_190406_2019-04-09_09-50.wav,NA
12,15,Tachycineta bicolor,Tree Swallow,0.231,s2lam002_190406_2019-04-09_09-50.wav,NA
18,21,Tachycineta bicolor,Tree Swallow,0.2556,s2lam002_190406_2019-04-09_09-50.wav,NA
19,22,Tachycineta bicolor,Tree Swallow,0.2532,s2lam002_190406_2019-04-09_09-50.wav,NA
2,5,Tachycineta bicolor,Tree Swallow,0.672,s2lam002_190406_2019-04-09_09-50.wav,NA
20,23,Tachycineta bicolor,Tree Swallow,0.5261,s2lam002_190406_2019-04-09_09-50.wav,NA
21,24,Tachycineta bicolor,Tree Swallow,0.1491,s2lam002_190406_2019-04-09_09-50.wav,NA
22,25,Tachycineta bicolor,Tree Swallow,0.9413,s2lam002_190406_2019-04-09_09-50.wav,NA
23,26,Tachycineta bicolor,Tree Swallow,0.6255,s2lam002_190406_2019-04-09_09-50.wav,NA
40,43,Haemorhous mexicanus,House Finch,0.1702,s2lam002_190406_2019-04-09_09-50.wav,HOFI
41,44,Haemorhous mexicanus,House Finch,0.1097,s2lam002_190406_2019-04-09_09-50.wav,HOFI
10,13,Cyanocitta stelleri,Steller's Jay,0.7643,s2lam002_190413_2019-04-14_06-10.wav,STJA
11,14,Cyanocitta stelleri,Steller's Jay,0.672,s2lam002_190413_2019-04-14_06-10.wav,STJA
12,15,Cyanocitta stelleri,Steller's Jay,0.7132,s2lam002_190413_2019-04-14_06-10.wav,STJA
13,16,Cyanocitta stelleri,Steller's Jay,0.5363,s2lam002_190413_2019-04-14_06-10.wav,STJA
15,18,Cyanocitta stelleri,Steller's Jay,0.7312,s2lam002_190413_2019-04-14_06-10.wav,STJA
16,19,Cyanocitta stelleri,Steller's Jay,0.878,s2lam002_190413_2019-04-14_06-10.wav,STJA
17,20,Cyanocitta stelleri,Steller's Jay,0.7841,s2lam002_190413_2019-04-14_06-10.wav,STJA
18,21,Cyanocitta stelleri,Steller's Jay,0.7392,s2lam002_190413_2019-04-14_06-10.wav,STJA
21,24,Cyanocitta stelleri,Steller's Jay,0.5239,s2lam002_190413_2019-04-14_06-10.wav,STJA
22,25,Cyanocitta stelleri,Steller's Jay,0.5831,s2lam002_190413_2019-04-14_06-10.wav,STJA
23,26,Cyanocitta stelleri,Steller's Jay,0.6354,s2lam002_190413_2019-04-14_06-10.wav,STJA
24,27,Cyanocitta stelleri,Steller's Jay,0.1952,s2lam002_190413_2019-04-14_06-10.wav,STJA
3,6,Buteo jamaicensis,Red-tailed Hawk,0.7118,s2lam002_190413_2019-04-14_06-10.wav,NA
37,40,Poecile rufescens,Chestnut-backed Chickadee,0.3444,s2lam002_190413_2019-04-14_06-10.wav,CBCH
