"PredictionId","SamplingEvent","Second","GVsecond","SpeciesCode","GVspeciesCode","PredictionScore","match","matchDelta","hurdle","ModelName","Anthropophony","Biophony","Geophony","Interference","Quiet"
80353066,"s2lam001_180526_2018-05-28_06-40",41,42,"HETH","ACWO",9048853,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
80353067,"s2lam001_180526_2018-05-28_06-40",43,42,"BEWR","ACWO",9805613,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
80353068,"s2lam001_180526_2018-05-28_06-40",44,42,"BEWR","ACWO",9116737,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_06-40",0,43,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
80353067,"s2lam001_180526_2018-05-28_06-40",43,43,"BEWR","ACWO",9805613,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
80353068,"s2lam001_180526_2018-05-28_06-40",44,43,"BEWR","ACWO",9116737,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_06-40",0,44,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
80353067,"s2lam001_180526_2018-05-28_06-40",43,44,"BEWR","ACWO",9805613,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
80353068,"s2lam001_180526_2018-05-28_06-40",44,44,"BEWR","ACWO",9116737,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_06-40",0,45,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
80353068,"s2lam001_180526_2018-05-28_06-40",44,45,"BEWR","ACWO",9116737,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_06-40",0,21,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_06-40",0,30,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_06-40",0,31,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_06-40",0,32,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_06-40",0,33,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_06-40",0,34,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_09-00",0,55,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_09-00",0,56,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,57,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,58,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,5,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,6,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,7,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_09-00",0,8,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_09-00",0,9,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,1,0
0,"s2lam001_180526_2018-05-28_09-00",0,10,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,0,0,1,0
0,"s2lam001_180526_2018-05-28_09-00",0,11,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,1,1,0
0,"s2lam001_180526_2018-05-28_09-00",0,12,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,1,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,13,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,1,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,14,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,1,0,0
0,"s2lam001_180526_2018-05-28_09-00",0,15,"ACWO","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,1,1,0
